isbn;genre;cover;title;authors;publisher;year;preco_medio;collection;volume;pages;type;preco_correto
9788582850749;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/noites_brancas.jpg;Noites brancas;Fiódor Dostoievski;Penguin;2018;3643;No collection;0;110;Collection;no
9788501014863;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_estrangeiro.jpg;O Estrangeiro;Albert Camus;Record;2023;564;No collection;0;126;Collection;no
9788582850350;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/dom_casmurro.jpg;Dom Casmurro;Machado de Assis;Penguin;2016;250;No collection;0;389;Collection;no
9788535913873;Contos;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_cidade_ilhada.jpg;A cidade ilhada;Milton Hatoum;Companhia das Letras;2007;1513;No collection;0;125;Collection;no
0;Teoria da literatura/linguística;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/gramatica_latina.jpg;Grámatica Latina;Napoleão Mendes de Almeida;Saraiva;1968;33935;No collection;0;538;Collection;no
9786558021506;Teoria da literatura/linguística;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/carta_de_uma_orientadora.jpg;Carta de uma orientadora;Debora Diniz;Civilização Brasileira;2024;300;No collection;0;207;Collection;no
9788571640399;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/relato_de_um_certo_oriente.jpg;Relato de um certo Oriente;Milton Hatoum;Companhia das Letras;2019;2908;No collection;0;189;Collection;no
9788535916744;Contos;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/obra_completa.jpg;Obra completa;Murilo Rubião;Companhia de bolso;2020;2639;No collection;0;227;Collection;no
9788563560520;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/quincas_borba.jpg;Quincas Borba;Machado de Assis;Penguin;2012;1863;No collection;0;344;Collection;no
9788520927977;Infanto-juvenil;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/as_melhores_historias_das_mil_e_uma_noites.jpg;As melhores histórias das mil e uma noites;Carlos Heitor Cony;Nova Fronteira;2012;1716;No collection;0;241;Collection;no
9788501102126;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_professor.jpg;O Professor;Cristovão Tezza;Record;2014;1528;No collection;0;237;Collection;no
9788535926156;Crônicas;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_poder_ultrajovem.jpg;O poder ultrajovem;Carlos Drummond de Andrade;Companhia das Letras;2009;1948;No collection;0;238;Collection;no
853250812x;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_hora_da_estrela.jpg;A hora da estrela;Clarice Lispector;Rocco;1998;4154;No collection;0;87;Collection;no
9788571640597;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/boca_do_inferno.jpg;Boca do Inferno;Ana Miranda;Companhia das Letras;2014;2553;No collection;0;330;Collection;no
9788535922646;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_ultima_quimera.jpg;A Última Quimera;Ana Miranda;Companhia das Letras;2016;1852;No collection;0;323;Collection;no
8508073259;Romance;https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_reliquia.jpg;A Relíquia;Eça de Queirós;Ática;1999;1417;Série Bom Livros;0;224;Collection;no
